worker_id,mobile,skill,level,origin_state,origin_district,monthly_income,payment_mode,signup-latitude,signup-longitude,signup-date
37,8023945255,Labourer,Junior,GUJARAT,Dahod,9000,cash,23.1194603,72.6278676,2020-11-03
38,8946790483,Carpenter,Senior,UTTAR PRADESH,Varanasi,15000,cash,23.021259,72.5361958,2020-11-03
39,5209748291,Labourer,Junior,GUJARAT,Dahod,9000,cash,23.1159916,72.6293044,2020-11-03
40,2184091975,Carpenter,Senior,UTTAR PRADESH,Ghazipur,15000,cash,23.021259,72.5361958,2020-11-03
41,6354986612,Labourer,Junior,GUJARAT,Dahod,9000,cash,23.117152,72.6294288,2020-11-03
42,8873405526,Carpenter,Junior,UTTAR PRADESH,Varanasi,12000,cash,23.021259,72.5361958,2020-11-03
43,9882623625,Carpenter,Senior,UTTAR PRADESH,Varanasi,12000,cash,23.021259,72.5361958,2020-11-03
44,4177319569,Carpenter,Senior,UTTAR PRADESH,Ghazipur,14000,cash,23.021259,72.5361958,2020-11-03
45,2003270957,Carpenter,Junior,UTTAR PRADESH,Varanasi,10000,cash,23.0201541,72.5391535,2020-11-03
46,2824447720,Carpenter,Junior,UTTAR PRADESH,Varanasi,13000,cash,23.0201541,72.5391535,2020-11-03
47,7496994403,Factory Labour,Junior,RAJASTHAN,Barmer,9500,cash,23.0076177,72.564035,2020-11-03
48,5204404147,Factory Labour,Senior,RAJASTHAN,Barmer,25000,bank,22.9648866,72.5846132,2020-11-03
49,5529988011,Factory Labour,Senior,UTTAR PRADESH,Unnao,25000,cash,22.9665317,72.583884,2020-11-03
50,9172863911,Formwork,Senior,MADHYA PRADESH,Betul,10000,cash,23.0582424,72.5387322,2020-11-03
51,4934218394,Electrician,Junior,GUJARAT,Mahisagar,12000,cash,23.057886,72.5400719,2020-11-03
52,6541764987,Mason,Junior,RAJASTHAN,Banswara,9000,cash,23.0581611,72.538497,2020-11-03
53,3669598540,Mason,Junior,GUJARAT,Dahod,9000,cash,23.1172324,72.6304546,2020-11-03
54,9164238908,Mason,Junior,GUJARAT,Dahod,9000,cash,23.1172324,72.6304546,2020-11-03
55,2500610788,Mason,Junior,RAJASTHAN,Banswara,9000,cash,23.0589188,72.5371899,2020-11-03
56,8946790483,Mason,Junior,GUJARAT,Gandhinagar,9000,cash,23.1172324,72.6304546,2020-11-03
57,3117949734,Mason,Junior,GUJARAT,Gandhinagar,9000,cash,23.1172324,72.6304546,2020-11-03
58,4221090554,Loader-Machine,Junior,GUJARAT,Ahmadabad,10000,cash,23.0321043,72.5988052,2020-11-03
59,7915884054,Mason,Junior,RAJASTHAN,Banswara,9000,cash,23.0582179,72.538425,2020-11-03
60,2627458243,Mason,Junior,UTTAR PRADESH,Gorakhpur,12000,cash,22.9450173,72.623063,2020-11-03
61,2225466573,Mason,Junior,RAJASTHAN,Banswara,9000,cash,23.0568219,72.5383377,2020-11-03
62,4843803530,Mason,Junior,MADHYA PRADESH,Dhar,9000,cash,23.1172324,72.6304546,2020-11-03
63,5530245692,Mason,Senior,BIHAR,Saran,18000,cash,23.0580686,72.5380984,2020-11-03
64,6968413109,Tiling,Senior,BIHAR,Saran,18000,cash,23.0580686,72.5380984,2020-11-03
65,6972280704,Mason,Senior,MADHYA PRADESH,Dhar,9000,cash,23.1172324,72.6304546,2020-11-03
66,7819794051,Electrician,Senior,GUJARAT,Ahmadabad,12000,cash,23.0577363,72.5373049,2020-11-03
67,2536159064,Mason,Junior,GUJARAT,Banas Kantha,9000,cash,23.117153,72.6294332,2020-11-03
68,9297129955,Mason,Junior,GUJARAT,Gandhinagar,9000,cash,23.1169491,72.6295327,2020-11-03
69,1833775238,Labourer,Junior,GUJARAT,Ahmadabad,12000,cash,23.0423447,72.5304104,2020-11-03
70,6974011744,Loader-Machine,Junior,RAJASTHAN,Rajsamand,12000,cash,23.031981,72.5986923,2020-11-03
71,6775833097,Mason,Senior,MADHYA PRADESH,Alirajpur,18000,cash,23.057638,72.5393157,2020-11-03
72,5112916052,Tiling,Senior,MADHYA PRADESH,Alirajpur,18000,cash,23.057638,72.5393157,2020-11-03
73,1875578091,Labourer,Junior,GUJARAT,Ahmadabad,7000,cash,23.0419068,72.5310992,2020-11-03
74,8946790483,Formwork,Junior,UTTAR PRADESH,Kushinagar,9000,cash,23.0577644,72.5392042,2020-11-03
75,8612394127,Labourer,Junior,RAJASTHAN,Banswara,12000,cash,23.0416401,72.5298675,2020-11-03
76,6582205646,Carpenter,Senior,GUJARAT,Ahmadabad,8000,cash,22.9560731,72.5827024,2020-11-03
77,7560129768,Labourer,Senior,RAJASTHAN,Pratapgarh,15000,cash,23.0421956,72.5298266,2020-11-03
78,5395240108,Formwork,Junior,ODISHA,Cuttack,10000,cash,23.057998,72.5392796,2020-11-03
79,8906539043,Formwork,Senior,WEST BENGAL,Malda,12000,cash,23.0569919,72.5402626,2020-11-03
80,2164616345,Labourer,Senior,RAJASTHAN,Udaipur,12000,cash,23.0416826,72.5298275,2020-11-03
81,8220463122,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0540586,72.4982451,2020-11-03
82,8447471995,Labourer,Senior,RAJASTHAN,Pratapgarh,12000,cash,23.041658,72.5298496,2020-11-03
83,2301560697,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0536902,72.4984827,2020-11-03
84,8484515316,RCC,Junior,GUJARAT,Dahod,9000,cash,23.0536902,72.4984827,2020-11-03
85,8998204537,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0542128,72.4988457,2020-11-03
86,3722683685,RCC,Senior,GUJARAT,Dahod,8000,cash,23.0528024,72.4970037,2020-11-03
87,2918302859,Mason,Senior,GUJARAT,Dahod,12000,cash,23.0536902,72.4984827,2020-11-03
88,9780343438,Mason,Senior,GUJARAT,Dahod,18000,cash,23.0540768,72.4983837,2020-11-03
89,5124957325,Loader-Machine,Junior,GUJARAT,Ahmadabad,6000,cash,23.0324647,72.5988954,2020-11-03
90,1738642153,Labourer,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
91,3436206536,Labourer,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
92,9726815441,Mason,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
93,3813807857,Mason,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
94,8088065203,Formwork,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
95,8946790483,Formwork,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
96,9564875093,Electrician,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
97,3105176162,Electrician,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
98,9025839861,Plumber,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
99,7886645999,Plumber,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
100,2098846829,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
101,5536644517,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
102,4833557286,Plastering,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
103,1346799084,Plastering,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
104,4959325146,Tiling,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
105,7874558897,Tiling,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
106,1939394328,Excavation,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
107,5527086362,Excavation,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
108,9410693935,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
109,3499282226,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
110,3853195898,RCC,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
111,2571375763,RCC,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
112,4869078600,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
113,5061892631,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
114,6931537274,Labourer,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
115,5272283115,Labourer,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
116,1410859391,Mason,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
117,8201976271,Mason,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
118,2017676748,Formwork,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
119,6980524185,Formwork,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
120,4718794440,Electrician,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
121,1903473568,Electrician,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
122,8378871475,Plumber,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
123,7013402965,Plumber,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
124,2974446017,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
125,8946790483,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
126,7957224634,Plastering,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
127,1403809891,Plastering,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
128,2707227893,Tiling,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
129,8849505720,Tiling,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
130,3876433468,Excavation,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
131,5617224875,Excavation,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
132,4764273100,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
133,5733116577,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
134,4181392521,RCC,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
135,6802988776,RCC,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
136,5463631729,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
137,3968458873,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
138,2100415441,Labourer,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
139,4055706243,Labourer,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
140,8041647938,Mason,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
141,1369650491,Mason,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
142,6062053471,Formwork,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
143,8634035197,Formwork,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
144,4858832510,Electrician,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
145,5522629454,Electrician,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
146,2899381262,Plumber,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
147,2537711677,Plumber,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
148,4269219228,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
149,8946790483,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
150,3270857614,Plastering,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
151,4295210728,Plastering,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
152,9976321881,Tiling,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
153,4750174664,Tiling,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
154,2730246155,Excavation,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
155,1556123818,Excavation,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
156,1713145916,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
157,9171183114,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
158,8753290503,RCC,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
159,5260860289,RCC,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
160,9640253064,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
161,3800319936,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9560686,72.5827045,2020-11-03
162,6215118014,Labourer,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
163,6380165520,Labourer,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
164,3451664415,Mason,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
165,3681747332,Mason,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
166,9947705686,Formwork,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
167,2580665386,Formwork,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
168,4010638223,Electrician,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
169,4987785255,Electrician,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
170,4974693792,Plumber,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
171,4794922075,Plumber,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
172,2507613860,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
173,8946790483,Fabrication,Senior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
174,9461517714,Plastering,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
175,1936504430,Plastering,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
176,7526422429,Tiling,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
177,3755084948,Tiling,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
178,3478190400,Excavation,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
179,8528414090,Excavation,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
180,3539265851,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
181,9810664038,Scaffolding,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
182,5943067493,RCC,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
183,1655498340,RCC,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
184,5209503033,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
185,5783815053,Carpenter,Junior,BIHAR,Patna,15000,bank,22.9548032,72.5820358,2020-11-03
186,6895158691,Mason,Senior,BIHAR,Sheohar,9000,cash,23.057904,72.5387838,2020-11-04
187,7422639352,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0488202,72.4999618,2020-11-04
188,6252477240,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0541318,72.4982651,2020-11-04
189,2017421488,Mason,Senior,GUJARAT,Dahod,18000,cash,23.0488202,72.4999618,2020-11-04
190,7960149125,Mason,Senior,BIHAR,Sheohar,12000,cash,23.0622821,72.5424808,2020-11-04
191,8946790483,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0488202,72.4999618,2020-11-04
192,4959317332,Mason,Junior,GUJARAT,Dahod,9000,cash,23.1160448,72.6293667,2020-11-04
193,8491331300,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0528444,72.4973735,2020-11-04
194,1859395700,Labourer,Senior,GUJARAT,Ahmadabad,7000,cash,23.0417868,72.5291579,2020-11-04
195,1113506377,Mason,Junior,GUJARAT,Dahod,9000,cash,23.1160797,72.6293589,2020-11-04
196,2829004057,Mason,Junior,GUJARAT,Dahod,9000,cash,23.1161178,72.6293417,2020-11-04
197,9057918595,Mason,Senior,GUJARAT,Dahod,12000,cash,23.0528024,72.4970037,2020-11-04
198,6145672209,Labourer,Senior,GUJARAT,Dahod,7000,cash,23.0397716,72.5297043,2020-11-04
199,3796306899,Mason,Junior,GUJARAT,Dahod,9000,cash,23.1161651,72.6293597,2020-11-04
200,6692147896,Mason,Junior,GUJARAT,Dahod,9000,cash,23.1161548,72.6293668,2020-11-04
201,7692643166,Formwork,Senior,UTTAR PRADESH,Basti,12000,cash,23.0569919,72.5402626,2020-11-04
202,6333090500,Formwork,Senior,UTTAR PRADESH,Kushinagar,12000,cash,23.0569919,72.5402626,2020-11-04
203,4387004146,Labourer,Senior,RAJASTHAN,Pratapgarh,24000,cash,23.0422102,72.5304582,2020-11-04
204,9876824274,RCC,Junior,GUJARAT,Dahod,9000,cash,23.0588595,72.493306,2020-11-04
205,7662968402,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0608216,72.5010711,2020-11-04
206,8946790483,Mason,Senior,RAJASTHAN,Dungarpur,21000,cash,23.0771509,72.4896083,2020-11-04
207,6081784400,Mason,Junior,RAJASTHAN,Dungarpur,9000,cash,23.0586387,72.5040291,2020-11-04
208,3555103727,Labourer,Senior,UTTAR PRADESH,Deoria,10000,cash,23.0205705,72.5362667,2020-11-04
209,4991159658,Fabrication,Junior,UTTAR PRADESH,Deoria,10000,cash,23.0204388,72.5362214,2020-11-04
210,5227745403,Factory Labour,Senior,GUJARAT,Ahmadabad,17000,bank,22.9732331,72.5863353,2020-11-04
211,8546203006,Loader-Machine,Junior,RAJASTHAN,Pali,11000,cash,23.0396426,72.5905374,2020-11-04
212,1298605965,Plumber,Senior,GUJARAT,Patan,15000,cash,22.9558147,72.5846233,2020-11-04
213,6272701580,Factory Labour,Senior,BIHAR,Bhojpur,15000,bank,22.9555379,72.5853625,2020-11-04
214,5826534329,Factory Labour,Senior,UTTAR PRADESH,Farrukhabad,13000,bank,22.955898,72.5853625,2020-11-04
215,4630697080,Mason,Senior,RAJASTHAN,Banswara,10000,cash,22.9558147,72.5846233,2020-11-04
216,9025844445,Loader-Machine,Junior,UTTAR PRADESH,Jaunpur,12000,cash,23.0386105,72.5930932,2020-11-04
217,9106715578,Mason,Junior,RAJASTHAN,Banswara,9000,cash,22.9569587,72.5843646,2020-11-04
218,9339726526,Mason,Junior,RAJASTHAN,Banswara,13000,cash,22.9558147,72.5846233,2020-11-04
219,3494469614,Labourer,Senior,GUJARAT,Mahisagar,15000,cash,22.9569587,72.5843646,2020-11-04
220,8212073695,Plumber,Senior,GUJARAT,Mahisagar,15000,cash,22.9569587,72.5843646,2020-11-04
221,6142486160,Mason,Senior,GUJARAT,Mahisagar,15000,cash,22.9569587,72.5843646,2020-11-04
222,2505118508,Mason,Senior,RAJASTHAN,Banswara,12000,cash,23.0433461,72.6050156,2020-11-04
223,1818518446,Labourer,Junior,RAJASTHAN,Banswara,8000,cash,23.0434336,72.6048628,2020-11-04
224,8946790483,Factory Labour,Senior,UTTAR PRADESH,Agra,6500,cash,22.9573232,72.5820358,2020-11-04
225,7322540489,Factory Labour,Senior,UTTAR PRADESH,Agra,12000,cash,22.9573232,72.5820358,2020-11-04
226,1965220231,Factory Labour,Senior,UTTAR PRADESH,Agra,8000,bank,22.9567577,72.5816374,2020-11-04
227,3709340000,Factory Labour,Junior,GUJARAT,Patan,7500,cash,22.9573232,72.5820358,2020-11-04
228,9623834691,Factory Labour,Junior,GUJARAT,Patan,8500,bank,22.9560126,72.5818022,2020-11-04
229,9108776791,Factory Labour,Senior,BIHAR,Begusarai,10000,cash,22.9567633,72.5816342,2020-11-04
230,8420050041,Heavy-Machine Operator,Senior,UTTAR PRADESH,Ambedkar Nagar,23000,bank,23.05699303,72.61962351,2020-11-04
231,3701913221,Carpenter,Senior,UTTAR PRADESH,Basti,12000,cash,23.0578397,72.5406638,2020-11-04
232,2472543658,Labourer,Junior,UTTAR PRADESH,Kushinagar,9000,cash,23.0579383,72.5405077,2020-11-04
233,8696724408,Carpenter,Junior,UTTAR PRADESH,Agra,9000,cash,23.0579362,72.5402915,2020-11-04
234,7489205624,Carpenter,Senior,UTTAR PRADESH,Kushinagar,18000,cash,23.0608073,72.5388766,2020-11-04
235,6080881429,Loader-Machine,Junior,RAJASTHAN,Jalor,15000,cash,23.0388043,72.5894907,2020-11-04
236,5556058024,Formwork,Senior,UTTAR PRADESH,Siddharthnagar,12000,cash,23.05850333,72.53992667,2020-11-04
237,2083550894,Carpenter,Senior,UTTAR PRADESH,Kushinagar,18000,cash,23.0598082,72.5389031,2020-11-04
238,7393700520,Mason,Senior,RAJASTHAN,Barmer,20000,cash,23.0217231,72.5369592,2020-11-04
239,8064906132,Loader-Machine,Junior,RAJASTHAN,Sirohi,10000,cash,23.0388615,72.5893616,2020-11-04
240,5660165294,Formwork,Senior,UTTAR PRADESH,Kushinagar,18000,cash,23.0607646,72.5389127,2020-11-04
241,9404605657,Formwork,Senior,UTTAR PRADESH,Siddharthnagar,10000,cash,23.0582861,72.5400927,2020-11-04
242,8946790483,Formwork,Senior,UTTAR PRADESH,Basti,12000,cash,23.0580047,72.5402978,2020-11-04
243,6546402206,Formwork,Senior,UTTAR PRADESH,Gorakhpur,13000,cash,23.0577856,72.5401287,2020-11-04
244,3434166632,Formwork,Senior,UTTAR PRADESH,Siddharthnagar,10000,cash,23.0579993,72.5403007,2020-11-04
245,4001191908,Mason,Senior,RAJASTHAN,Barmer,20000,cash,23.0204563,72.5368039,2020-11-04
246,5233130569,Formwork,Senior,UTTAR PRADESH,Kushinagar,18000,cash,23.0591095,72.5398929,2020-11-04
247,9851605771,Labourer,Senior,UTTAR PRADESH,Deoria,17000,cash,23.0204563,72.5368039,2020-11-04
248,8772432782,Carpenter,Senior,UTTAR PRADESH,Balrampur,12000,cash,22.9596,72.6117041,2020-11-04
249,5245453215,Factory Labour,Junior,UTTAR PRADESH,Ambedkar Nagar,12000,cash,22.9558147,72.5846233,2020-11-04
250,8456921328,Formwork,Senior,UTTAR PRADESH,Ghazipur,12000,cash,23.0603161,72.5399352,2020-11-04
251,5497903177,Carpenter,Senior,BIHAR,Purnia,16000,cash,23.020749,72.5378067,2020-11-04
252,9622263058,Mason,Senior,BIHAR,Madhubani,18000,cash,23.0607653,72.5389062,2020-11-04
253,8384178150,Factory Labour,Senior,GUJARAT,Ahmadabad,30000,cash,22.9560907,72.5846324,2020-11-04
254,2953165145,Mason,Senior,RAJASTHAN,Dungarpur,12000,cash,23.05406,72.4982513,2020-11-04
255,6659390660,Fabrication,Senior,UTTAR PRADESH,Allahabad,9000,cash,23.02112,72.5381658,2020-11-04
256,3275408738,Mason,Junior,GUJARAT,Dahod,9000,cash,23.0583628,72.5047686,2020-11-04
